HDFC BANK LTD
STATEMENT OF ACCOUNT FOR CURRENT PERIOD
=========================================================
Date,Narration,Chq/Ref No.,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/05/2026,SALARY CREDIT ACME CORP,,0.00,85000.00,85000.00
02/05/2026,UPI-SWIGGY-REST-435261,,457.00,0.00,84543.00
03/05/2026,HOUSE RENT TO LANDLORD,,15000.00,0.00,69543.00
05/05/2026,NETFLIX SUBSCRIPTION,,649.00,0.00,68894.00
08/05/2026,INTERNET BILL AIRTEL,,1299.00,0.00,67595.00
10/05/2026,UPI-UBER-TRIP-9087,,320.00,0.00,67275.00
12/05/2026,MUTUAL FUND SIP IN HDFC MF,,5000.00,0.00,62275.00
15/05/2026,UPI-ZOMATO-FOOD-3312,,890.00,0.00,61385.00
18/05/2026,AMAZON SHOPPING PAY,,2450.00,0.00,58935.00
20/05/2026,TRANSFER TO SELF ACC,,25000.00,0.00,33935.00
22/05/2026,CASH WITHDRAWAL ATM KORAMANGALA,,5000.00,0.00,28935.00
25/05/2026,REFUND FROM SWIGGY,,0.00,457.00,29392.00
26/05/2026,INTEREST CREDIT SAVINGS AC,,0.00,124.00,29516.00
28/05/2026,UPI-ZEPTO-GROCERY-7621,,1120.00,0.00,28396.00
30/05/2026,CRED CREDIT CARD EMI,,8450.00,0.00,19946.00
01/06/2026,SALARY CREDIT ACME CORP,,0.00,85000.00,104946.00
02/06/2026,UPI-ZOMATO-REST-9082,,340.00,0.00,104606.00
03/06/2026,HOUSE RENT TO LANDLORD,,15000.00,0.00,89606.00
05/06/2026,NETFLIX SUBSCRIPTION,,649.00,0.00,88957.00
08/06/2026,INTERNET BILL AIRTEL,,1299.00,0.00,87658.00
10/06/2026,UPI-OLA-CABS-4421,,280.00,0.00,87378.00
12/06/2026,MUTUAL FUND SIP IN HDFC MF,,5000.00,0.00,82378.00
14/06/2026,UPI-STARBUCKS-COFFEE-7711,,450.00,0.00,81928.00
15/06/2026,DECATHLON SPORT SHOP,,3200.00,0.00,78728.00
16/06/2026,SPLITWISE REIMBURSEMENT,,0.00,850.00,79578.00
=========================================================
This is a generated sample file for RupeeRadar testing.
